;quest_id;st_answ;id_st;st_ans_calif
52;EM_45c;Because flour does not turn into crystals.;EM.45c.458.1;0
53;EM_45c;Because salt is a crystal.;EM.45c.477.1;0
54;EM_45c;Because it has a X in the middle, and salt was in it.;EM.45c.490.1;0
55;EM_45c;The crystals are kosher salt and kosher salt is salt!;EM.45c.491.1;0
56;EM_45c;By looking at the crystal identification sheet.;EM.45c.494.1;0
57;EM_45c;Because we measured them.;EM.45c.498.1;0
58;EM_45c;Because it was so shiny.;EM.45c.532.1;0
59;EM_45c;They were powdery.;EM.45c.534.1;0
60;EM_45c;Because there were little shining things inside and I knew it was salt.;EM.45c.536.1;0
61;EM_45c;Because we learned it because it was white that is how we knew.;EM.45c.537.1;0
62;EM_45c;I would know that the crystals were salt is the way how it looks.;EM.45c.540.1;0
63;EM_45c;We poured the water we left it alone for 2 days and they dry up.;EM.45c.562.1;0
64;EM_45c;After the water dried we noticed it was Kosher salt.;EM.45c.564.1;0
65;EM_45c;By breaking the rock.;EM.45c.569.1;0
66;EM_45c;Because it tastes like salt.;EM.45c.591.1;0
67;EM_45c;Because crystals are a kind of salt.;EM.45c.592.1;0
68;EM_45c;I looked at them really closely and they looked like crystals and diamonds.;EM.45c.606.1;1
69;EM_45c;Because we looked in the magnifying glass.;EM.45c.611.1;0
70;EM_45c;I knew the crystals were salt because of the patterns and shapes.;EM.45c.614.1;1
71;EM_45c;I looked at the chart.;EM.45c.647.1;0
72;EM_16b;Topaz is harder because it would be all no on the chart.;EM.16b.183.1;0
73;EM_16b;Topaz is harder. Because topaz is the hardest birthstone.;EM.16b.187.1;0
74;EM_16b;Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.;EM.16b.189.1;1
75;EM_16b;M to Z is harder than mineral X and Y.;EM.16b.279.1;0
76;EM_16b;It is harder than X Y Z because we read about it this morning.;EM.16b.284.1;0
77;EM_16b;It is harder than them.;EM.16b.286.1;0
78;EM_16b;It is harder than minerals X, Y, and Z because it cannot be scratched by either one.;EM.16b.288.1;1
79;EM_16b;A topaz is compared to Z because it cannot be scratched with 2 thirds things. Y is all the opposite of topaz. X cannot be scratched with one third of a topaz cannot be scratched.;EM.16b.321.1;0
80;EM_16b;The Topaz is the first hardest mineral out of the 3 on the chart.;EM.16b.322.1;0
81;EM_16b;Topaz is harder than all of them. It is just barely harder than Z, way harder than Y, and pretty harder than X.;EM.16b.387.1;0
82;EM_16b;Topaz is harder than X, Y, and Z because Topaz cannot be scratched by a fingernail, a penny, or a paperclip so it is the hardest.;EM.16b.388.1;1
83;EM_16b;Tied with mineral Y because they are both yes, yes, and yes.;EM.16b.398.1;0
84;EM_16b;Topaz would be all no's compared the minerals X, Y, and Z because topaz is one of the scratch free minerals.;EM.16b.403.1;0
85;EM_16b;Topaz is harder than minerals X, Y, and Z because Topaz cannot be scratched by a fingernail, penny or a paperclip. So it is harder.;EM.16b.419.1;1
86;EM_16b;It is a soft rock Z, I think it is the same as Y because they can both be scratched by everything. It is little bit hard to X.;EM.16b.431.1;0
87;EM_16b;Topaz is harder than X, Y, and Z because it cannot be scratched by a fingernail, a laser, or a paperclip.;EM.16b.493.1;1
88;EM_16b;Topaz is the hardest out of all minerals because it did not get scratched by any tool.;EM.16b.494.1;1
89;EM_16b;Like steel if you rub them and if it does not scratch.;EM.16b.495.1;0
90;EM_16b;It is harder than all of the other minerals because it cannot get scratched by none of the scratching materials and all the other minerals can get scratched at least one time.;EM.16b.497.1;1
91;EM_16b;It is harder than X, Y, Z. I know it is harder than X, Y, and Z because nothing can scratch it.;EM.16b.508.1;1
92;EM_16b;Minerals X has 2 of them in a paperclip and penny. And the Y, Z and the minerals Y is the hardest in it.;EM.16b.521.1;0
93;EM_16b;It is the hardest because it cannot be scratched by any of them and the others can be scratched with at least one of the minerals.;EM.16b.527.1;1
94;EM_16b;Mineral Z can scratch topaz because mineral Z cannot be scratched by a penny or a fingernail but it can get scratched by a paperclip.;EM.16b.528.1;0
95;EM_16b;It is so strong that minerals X, Y, Z cannot break it.;EM.16b.532.1;0
96;EM_16b;I know because when you break a rock that is when you know it is hard or not hard.;EM.16b.538.1;0
97;EM_16b;How it is compared to X, Y, and Z is that the finger and the penny cannot scratch mineral X and Z.;EM.16b.540.1;0
98;EM_16b;I know it is Z because it has one yes and 2 no's.;EM.16b.573.1;0
99;EM_16b;Mineral Z cannot be scratched by penny, fingernail, and paperclip. Topaz cannot be scratched by anything.;EM.16b.576.1;0
100;EM_16b;Topaz has to have X, Y, Z as minerals.;EM.16b.606.1;0
101;EM_16b;Because it is harder.;EM.16b.608.1;0
102;EM_16b;I know because a fingernail cannot be scratched the most.;EM.16b.610.1;0
103;EM_16b;Topaz is the hardest because none of them can scratch it but at least one them can scratch X, Y, Z.;EM.16b.626.1;1
104;EM_16b;Topaz would be the hardest because none of the tools could scratch it and at least one tool.;EM.16b.629.1;1
105;EM_16b;Topaz would be hardest because none of the tools could scratch it and at least one tool could scratch X Y Z.;EM.16b.640.1;1
106;EM_16b;It would be the hardest because none of the tools could scratch it.;EM.16b.642.1;1
107;EM_16b;Topaz would be hardest because none of the tools could scratch it and at least one tool could scratch X, Y, and Z.;EM.16b.648.1;1
108;EM_21a;She can do a scratch test and see which one is harder.;EM.21a.137.1;0
109;EM_21a;Scratch one against the other.;EM.21a.139.1;1
110;EM_21a;Rub them together.;EM.21a.185.1;0
111;EM_21a;By scratching them.;EM.21a.277.1;0
112;EM_21a;Rubbing them together.;EM.21a.278.1;0
113;EM_21a;Scratch them together.;EM.21a.279.1;1
114;EM_21a;Scratch them against each other.;EM.21a.280.1;1
115;EM_21a;Use her fingernail.;EM.21a.284.1;0
116;EM_21a;A rock scratch.;EM.21a.311.1;0
117;EM_21a;Use your fingernail.;EM.21a.314.1;0
118;EM_21a;Scratch the 2 together.;EM.21a.391.1;1
119;EM_21a;Scratch one against the other.;EM.21a.397.1;1
120;EM_21a;She can use her nail and penny.;EM.21a.405.1;0
121;EM_21a;Scratch them together.;EM.21a.408.1;1
122;EM_21a;Georgia could rub them together.;EM.21a.435.1;0
123;EM_21a;Scratch them together.;EM.21a.436.1;1
124;EM_21a;Scratch the minerals together.;EM.21a.459.1;1
125;EM_21a;From scratching with another minerals.;EM.21a.471.1;0
126;EM_21a;She can scratch them together and the one with the mark is the soft one.;EM.21a.508.1;1
127;EM_21a;She can scratch it together and look and see which leave a scratch.;EM.21a.510.1;1
128;EM_21a;She could rub them together.;EM.21a.525.1;0
129;EM_21a;Georgia could rub them together.;EM.21a.529.1;1
130;EM_21a;She could rub them together.;EM.21a.547.1;0
131;EM_21a;Scratch the 2 rocks together.;EM.21a.565.1;1
132;EM_21a;By rubbing them together and touching them.;EM.21a.570.1;0
133;EM_21a;With her nail.;EM.21a.571.1;0
134;EM_21a;Rub them together.;EM.21a.572.1;1
135;EM_21a;Rub them together.;EM.21a.575.1;0
136;EM_21a;Rubbing them together.;EM.21a.576.1;0
137;EM_21a;She can rub them together and switch, if there is a mark on it and it goes away, it is hard.;EM.21a.594.1;1
138;EM_21a;Rub them together to see if scratch the other.;EM.21a.627.1;1
139;EM_21a;Rub them together.;EM.21a.632.1;0
140;EM_21a;Rub them together, see which will scratch the other.;EM.21a.633.1;1
141;EM_21a;Rub them together and see if you can scratch it harder.;EM.21a.636.1;1
142;EM_21a;Rub them together and see if one scratches the other.;EM.21a.638.1;1
143;EM_21a;Rub them to see if one scratches the other.;EM.21a.646.1;1
144;EM_21b;Because whichever one scratches is the hardest.;EM.21b.101.1;1
145;EM_21b;Which one makes a deeper scratch.;EM.21b.108.1;1
146;EM_21b;The other one that did not break is the hardest.;EM.21b.115.1;0
147;EM_21b;See which one scratched the other.;EM.21b.121.1;1
148;EM_21b;One will scratch the other one. She should rub the scratch, too. That way she knows if it is a scratch or dust from the other mineral.;EM.21b.148.1;1
149;EM_21b;First you take the black mineral and rub it against the brown mineral. Then see if you can wipe off the mark and if you can the brown one is harder and if you cannot the black one is harder.;EM.21b.149.1;1
150;EM_21b;She can rub the scratch. If it goes away, the black one is harder. If it stays there, the brown one is harder.;EM.21b.155.1;1
151;EM_21b;The one with scratches or deeper scratches is weaker and the other rock is harder.;EM.21b.174.1;1
152;EM_21b;When she rubs them together and the other one breaks the one that did not break is the hardest.;EM.21b.178.1;0
153;EM_21b;Because it will break.;EM.21b.189.1;0
154;EM_21b;Scratch test.;EM.21b.206.1;0
155;EM_21b;The harder mineral will scratch the color off of the softer one.;EM.21b.214.1;1
156;EM_21b;The one that make a mark. She should also see if stuff comes off when she scratches it.;EM.21b.223.1;1
157;EM_21b;If she does scratch one on the other and one gets a mark that you can to rub off. Then you know the other one is harder.;EM.21b.226.1;1
158;EM_21b;A penny.;EM.21b.242.1;0
159;EM_21b;The one with a scratch.;EM.21b.248.1;0
160;EM_21b;The mineral with no scratch is the hardest because the other one could not scratch it.;EM.21b.251.1;1
161;EM_21b;The one that scratches the other.;EM.21b.258.1;1
162;EM_21b;Whichever one gets scratched is the softest.;EM.21b.259.1;1
163;EM_21b;Whichever one got scratched.;EM.21b.260.1;0
164;EM_21b;Scratch them together.;EM.21b.279.1;1
165;EM_21b;Whichever one that has more scratches.;EM.21b.284.1;0
166;EM_21b;Because maybe something will come off.;EM.21b.314.1;0
167;EM_21b;The one that does not break.;EM.21b.319.1;0
168;EM_21b;By rubbing them together whichever one the chalky stuff comes off of is the hardness.;EM.21b.322.1;0
169;EM_21b;The skin of the saltiest will come off.;EM.21b.323.1;0
170;EM_21b;The one that does not have a scratch.;EM.21b.349.1;1
171;EM_21b;The one who resists is the hardest.;EM.21b.358.1;0
172;EM_21b;Because she can touch and see which is hard.;EM.21b.360.1;0
173;EM_21b;If you see a mark that does not mean it is the softest. If it is pushed in that means it is the softest and the harder one there is nothing.;EM.21b.383.1;1
174;EM_21b;The one with a scratch is not the hardest so the other mineral must be hardest.;EM.21b.392.1;1
175;EM_21b;The one that crumbles the most.;EM.21b.398.1;0
176;EM_21b;The harder mineral will leave a scratch on the less hard mineral.;EM.21b.629.1;1
177;EM_21b;The harder will leave a scratch on the less hard mineral.;EM.21b.631.1;1
178;EM_21b;The harder mineral will leave a scratch on the less hard mineral.;EM.21b.638.1;1
179;EM_21b;The harder will leave a scratch on the other.;EM.21b.646.1;1
180;EM_43b;He should put a rock and vinegar into a vial and if the rock has calcite, the water will turn murky.;EM.43b.384.1;0
181;EM_43b;Cold pour in cup.;EM.43b.385.1;0
182;EM_43b;Put part of the broken rock in the cup. Then add vinegar. If it starts bubbling a lot, it has calcite.;EM.43b.387.1;1
183;EM_43b;He should put a mock rock in a cup of vinegar, and if there is bubbles there is calcite.;EM.43b.388.1;1
184;EM_43b;Put the water in the vial and put the calcite in, if the water starts getting murky and bubbles float to the top there is calcite.;EM.43b.391.1;0
185;EM_43b;Phil should first put the rock in a bowl of vinegar. If it bubbles a lot it is probably calcite. Next if he is still not sure he should pour the rock and vinegar into a dish and let it evaporate. He should look for needle like markings.;EM.43b.392.1;1
186;EM_43b;Phil should find a rock he thinks has calcite, and put it in a vial with vinegar in it. Then after a while he should pour the vinegar into the shallow dish. After that Phil should let it evaporate. Then Phil should look at what is inside the dish. If it has long, white, needles, then there probably is calcite in that rock.;EM.43b.393.1;0
187;EM_43b;First find calcite put it in a vial. Second put vinegar in and let it sit. Third pour out the vinegar.;EM.43b.395.1;0
188;EM_43b;He should put the rock or mineral in a cup and pour vinegar and if it bubble then it calcite.;EM.43b.401.1;1
189;EM_43b;Because vinegar is cold acid is very into now.;EM.43b.404.1;0
190;EM_43b;Phil should put the rock in the vial. Then put vinegar in then look for a lot of bubble then put in cold acid in to wait for a few days.;EM.43b.408.1;1
191;EM_43b;He should put it in a vial with vinegar and then drop only the vinegar on later and when it is done there should be white crystals.;EM.43b.425.1;0
192;EM_43b;He would observe the calcite. Look for calcite in rocks. And then when you think you found it put it in the water.;EM.43b.430.1;0
193;EM_43b;He should put a rock in vinegar and look at it. If it bubbles it has calcite in it. That is what he should do.;EM.43b.431.1;1
194;EM_43b;Put the rocks in a vial and see if they bubble.;EM.43b.434.1;0
195;EM_43b;He should put vinegar in the vial and put then rock inside and look for bubbles.;EM.43b.439.1;1
196;EM_43b;Phil should put the rock in the tube. Then put the vinegar in the tube cover the rocks and it should bubble.;EM.43b.444.1;1
197;EM_43b;If he has a vial then he should get the rock or mineral in the vial and pour vinegar in the vial to see if he has vials.;EM.43b.487.1;0
198;EM_43b;Put some vinegar in a vial but first put the rock inside then you will see bubbles going so so fast and you have to wait about 2 minutes and you will see it.;EM.43b.489.1;1
199;EM_43b;He should pour the acid on it, then if it has bubbles all over it is calcite.;EM.43b.498.1;1
200;EM_43b;Put the cold acid and wait for it react.;EM.43b.499.1;0
201;EM_43b;Get a rock and put it in a vial and pour acid into the vial. Wait a while and when a while is done look in the evaporating dish with your hand lens.;EM.43b.502.1;0
202;EM_43b;Phil should pour the cold acid on the rock and if it fizzes it has calcite in it.;EM.43b.504.1;1
203;EM_43b;The color and the want was like. And he can see the hot or cold. And measure and feel it all. And it is stuff.;EM.43b.521.1;0
204;EM_43b;He would observe that there are bubbles.;EM.43b.557.1;0
205;EM_43b;Put the calcite in the vinegar and you will see bubbles.;EM.43b.564.1;0
206;EM_43b;Vinegar, gas, mineral, rock.;EM.43b.592.1;0
207;EM_43b;Because he should put the acid on the rock and see if it fizzes that means it is calcite.;EM.43b.593.1;1
208;EM_43b;He can do the vinegar test the evaporation test and the hardness test.;EM.43b.602.1;0
209;EM_43b;He should put the acid on the rock and observe for a reaction because calcite reacts with acid by making bubbles. So if the rock fizzes it has calcite in it.;EM.43b.609.1;1
210;EM_43b;That what calcite to when it is in vinegar.;EM.43b.611.1;0
211;EM_43b;Put the rock in vinegar.;EM.43b.615.1;0
212;EM_43b;He would put the vinegar into a vial and put the rock in the vial and if it bubbles it is calcite.;EM.43b.626.1;1
213;EM_43b;If it bubbles it has calcite.;EM.43b.629.1;0
214;EM_43b;If you put the rock in vinegar it should fizzle if it has calcite.;EM.43b.634.1;1
215;EM_43b;Put the rock in vinegar and see if it fills.;EM.43b.639.1;0
216;EM_46;It if looks like salt then the salt is salt crystals. If it has lines in them it is calcite crystals.;EM.46.137.1;0
217;EM_46;Calcite is straight lines.;EM.46.141.1;0
218;EM_46;The calcite crystals have lines. Salt crystal have squares.;EM.46.147.1;1
219;EM_46;The calcite crystals were lines and the salt crystals were pyramids and squares.;EM.46.149.1;1
220;EM_46;You can tell them apart because the calcite is just lines. The salt crystals were pyramids and squares.;EM.46.153.1;1
221;EM_46;Calcite look like this the salt, drew picture, crystals look like this, drew picture.;EM.46.281.1;0
222;EM_46;Salt crystals had an X on them and calcite crystals do not.;EM.46.284.1;0
223;EM_46;The salt crystals look like squares.;EM.46.288.1;0
224;EM_46;The salt crystals were square and the calcite had stripes.;EM.46.356.1;0
225;EM_46;When the crystals of the mock rock you could see them really good and with the minerals, calcite, they were hard to see.;EM.46.383.1;0
226;EM_46;I know that crystals are different than salt crystals because the salt crystals do not have needle like structures.;EM.46.397.1;0
227;EM_46;They both have different crystals in them, the ones that are white are whiter than the calcite test crystals.;EM.46.399.1;0
228;EM_46;The calcite crystals looked liked small white needles, the salt crystals were small white globs and squares with Xs and diamonds.;EM.46.406.1;1
229;EM_46;Well the vinegar if you beating a rock it will store bowl.;EM.46.409.1;0
230;EM_46;The crystals were points and the salt crystal were Xs.;EM.46.422.1;1
231;EM_46;The salt crystals have Xs and the others do not.;EM.46.428.1;0
232;EM_46;One of them was whiter than the other and had more crystals.;EM.46.431.1;0
233;EM_46;I can tell the difference because calcite crystals spread out and salt crystals look like squares.;EM.46.432.1;0
234;EM_46;The salt crystals have Xs in them and the other ones look different.;EM.46.433.1;0
235;EM_46;They are different because crystals from the calcite test are not minerals and the salt crystals are minerals.;EM.46.491.1;0
236;EM_46;I can they are different because of their shape calcite crystals look like needles and salt had squares with Xs inside them.;EM.46.494.1;1
237;EM_46;The salt crystals have little Xs and are square shape.;EM.46.508.1;0
238;EM_46;Because the salt crystals were squares with Xs in them and the calcite crystals were and did not make shapes.;EM.46.523.1;0
239;EM_46;The crystals have Xs inside when calcite has like white spot.;EM.46.557.1;0
240;EM_46;The calcite can be white and crystals is black.;EM.46.561.1;0
241;EM_46;Salt crystals had Xs and the crystals did not.;EM.46.572.1;0
242;EM_46;The crystals did not look much like calcite but the did not look like salt either.;EM.46.576.1;0
243;EM_46;Because the crystals from the calcite test were long and skinny. The salt crystals were fat and had designs on.;EM.46.599.1;1
244;EM_46;The calcite crystals had tall needle patterns and the salt crystals were squares with Xs in them.;EM.46.605.1;1
245;EM_46;The difference is the mineral have a little X in the rock have more color.;EM.46.607.1;0
246;EM_46;Because the crystals from calcite look like little needles and the salt crystals had squares with Xs on them.;EM.46.609.1;1
247;EM_46;The one has Xs is the one look like sauce.;EM.46.615.1;0
248;EM_46;Calcite crystals, salt crystals, acid, vinegar.;EM.46.626.1;0
249;EM_46;A crystal is signet, and has stuff in the middle. The calcite is clear smooth. Salt crystals look like something is dried up.;EM.46.630.1;0
250;EM_46;If you have a bowl and inside there is a crystal and you put vinegar in the bowl if it has calcite it will look like needles with salt it will look like yes.;EM.46.634.1;0
251;EM_46;Calcite crystals, long needles. Salt crystals, X shape.;EM.46.649.1;0
252;EM_48b;I chose this answer because I remember what type it is because I remembered.;EM.48b.105.1;0
253;EM_48b;The key on the bottom and the match.;EM.48b.112.1;0
254;EM_48b;I see the same picture or shape.;EM.48b.115.1;0
255;EM_48b;Because on the key alum is a hexagon with a box in it and lines on the net observation it is the same.;EM.48b.121.1;1
256;EM_48b;Because the crystals in the circle are the same as the crystals in the alum square.;EM.48b.139.1;0
257;EM_48b;The picture looks like the alum.;EM.48b.154.1;0
258;EM_48b;Because of its shaped like a hexagon with a square inside.;EM.48b.179.1;0
259;EM_48b;They have the same shape.;EM.48b.214.1;1
260;EM_48b;Because I know what to do with the key.;EM.48b.216.1;0
261;EM_48b;I chose the answer because in the key below in the middle is alum and it looks the same as the one above.;EM.48b.220.1;0
262;EM_48b;Because it looks the same as her observation.;EM.48b.241.1;0
263;EM_48b;It is the same crystals.;EM.48b.252.1;0
264;EM_48b;Because they look the same.;EM.48b.279.1;0
265;EM_48b;It look the same.;EM.48b.280.1;0
266;EM_48b;Because it is crystals and the things look like them.;EM.48b.354.1;0
267;EM_48b;It looks like little diamonds, but it is salt.;EM.48b.361.1;0
268;EM_48b;I chose this answer because the picture in the circle and the picture square look the same.;EM.48b.395.1;0
269;EM_48b;I chose this answer because the shape and design looks the same.;EM.48b.402.1;0
270;EM_48b;I chose it because that is the only crystal that looks like alum.;EM.48b.439.1;0
271;EM_48b;Alum has things inside so I look at the picture and it has things inside so I knew it was alum.;EM.48b.444.1;0
272;EM_48b;Because they have the same shape and they have the same size and they have squares inside them.;EM.48b.500.1;0
273;EM_48b;Because they have squares inside of it, they have lines going to the outside of it, and it has sides on the outside.;EM.48b.502.1;0
274;EM_48b;Because it is the same shape and has the same design in it.;EM.48b.503.1;1
275;EM_48b;Because the picture that Emily drew looks just like the alum in the crystal sheet key and they are both the same shape and have the same pattern.;EM.48b.509.1;1
276;EM_48b;Alum looks exactly a like it in the dish.;EM.48b.523.1;0
277;EM_48b;Because alum is the same one up there and I remembered studying it.;EM.48b.525.1;0
278;EM_48b;Because Alum looks like that.;EM.48b.530.1;0
279;EM_48b;Why I chose that answer is that it looks like Alum.;EM.48b.536.1;0
280;EM_48b;Because alum has a hexagon shape.;EM.48b.557.1;1
281;EM_48b;Alum answer.;EM.48b.567.1;0
282;EM_48b;Because it look 3D or like a box the same shape.;EM.48b.598.1;0
283;EM_48b;Because I looked at the crystals and looked at the key and compared it. Then I saw a match.;EM.48b.609.1;0
284;EM_48b;It is match is.;EM.48b.631.1;0
285;EM_48b;Because the alum matches.;EM.48b.639.1;0
286;EM_48b;Because the picture matches.;EM.48b.645.1;0
287;EM_48b;Because it has the same shape and size.;EM.48b.647.1;0
288;EM_26;The were like feathers they were tiny little overlapping squares.;EM.26.104.1;1
289;EM_26;It look like feathers.;EM.26.106.1;0
290;EM_26;Looks like salt that has fizz on in it.;EM.26.115.1;0
291;EM_26;They were squares with Xs.;EM.26.121.1;1
292;EM_26;The salt crystals shape is a square.;EM.26.173.1;1
293;EM_26;Square with X in it.;EM.26.177.1;1
294;EM_26;They are white, sparkly, if you put 5 or 10 together you can make a pile.;EM.26.219.1;0
295;EM_26;It is a square with little Xs on it.;EM.26.224.1;1
296;EM_26;Squares with Xs in the middle.;EM.26.243.1;1
297;EM_26;They would be a square with a X on it.;EM.26.254.1;1
298;EM_26;A box and in X in the box.;EM.26.260.1;1
299;EM_26;4 squares one X.;EM.26.276.1;1
300;EM_26;If I put saltwater in a dish it evaporate over heat and turns to salt crystals.;EM.26.287.1;0
301;EM_26;Organized cubes with X.;EM.26.319.1;1
302;EM_26;With Xs.;EM.26.321.1;0
303;EM_26;The salt crystals leaves a Xs.;EM.26.339.1;0
304;EM_26;It was while you could see through square.;EM.26.354.1;0
305;EM_26;They all look the same, but some of them look different and then really small.;EM.26.402.1;0
306;EM_26;It is shaped like a diamond and it looks like a diamond.;EM.26.408.1;0
307;EM_26;Squares with the Xs on them.;EM.26.426.1;1
308;EM_26;Square has X on it little X.;EM.26.438.1;1
309;EM_26;They are like little boxes with Xs on them.;EM.26.443.1;1
310;EM_26;They are squared with Xs in them.;EM.26.444.1;1
311;EM_26;They are squares with Xs in them.;EM.26.486.1;1
312;EM_26;The salt was made of crystals because crystals have Xs.;EM.26.500.1;0
313;EM_26;It is a square and Xs on it.;EM.26.502.1;1
314;EM_26;The salt crystals has Xs in the middle of the square.;EM.26.507.1;1
315;EM_26;The salt crystal is a square shape with a X in the middle.;EM.26.547.1;1
316;EM_26;Is just tiny and big because of crystals.;EM.26.561.1;0
317;EM_26;I do not know.;EM.26.575.1;0
318;EM_26;I do not know.;EM.26.578.1;0
319;EM_26;They have a square with a X in it.;EM.26.609.1;1
320;EM_26;It is shaped as square and has an X in the middle.;EM.26.614.1;1
321;EM_26;They have X in them.;EM.26.631.1;0
322;EM_26;The salt has the letter X.;EM.26.637.1;0
323;EM_27b;You would see if it bubbles.;EM.27b.386.1;0
324;EM_27b;Bubbles coming out of the rock and murky water.;EM.27b.391.1;0
325;EM_27b;The vinegar would get all full with bubbles, and murky.;EM.27b.393.1;0
326;EM_27b;I would observe broken calcite that looks like wet baby powder.;EM.27b.403.1;0
327;EM_27b;Well a mineral is in a can of rock there is.;EM.27b.404.1;0
328;EM_27b;It would be mostly about minerals.;EM.27b.409.1;0
329;EM_27b;I would see if the rocks bubble.;EM.27b.416.1;0
330;EM_27b;I would observe many bubbles staying on the calcite, and some floating to the top.;EM.27b.433.1;0
331;EM_27b;You would see bubbles.;EM.27b.436.1;0
332;EM_27b;You would look for bubbling.;EM.27b.438.1;0
333;EM_27b;I would look for bubbles if the it has bubble it has calcite.;EM.27b.441.1;0
334;EM_27b;If the rock fizzes it contains calcite because calcite fizzes when put with cold acid.;EM.27b.454.1;1
335;EM_27b;You would see the mineral fizzing.;EM.27b.459.1;1
336;EM_27b;I would notice that it should be bubbling.;EM.27b.467.1;0
337;EM_27b;The rock would be covered by bubbles and fizz.;EM.27b.487.1;1
338;EM_27b;You will see bubbles coming up and you will see them going fast.;EM.27b.489.1;0
339;EM_27b;You would see bubbles fizzing to the top.;EM.27b.494.1;1
340;EM_27b;You would see bubbles floating up or down.;EM.27b.501.1;0
341;EM_27b;The rock would covered by bubbles and fizz.;EM.27b.505.1;1
342;EM_27b;Some parts will fizz and bubble with rise to the top.;EM.27b.508.1;1
343;EM_27b;You would see bubbles rising from the calcite.;EM.27b.509.1;0
344;EM_27b;It would fizz and get small.;EM.27b.525.1;1
345;EM_27b;It would have little tiny crystals that are white.;EM.27b.530.1;0
